Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
92,tt1245526,2021-11-16,2021-11-16,,RED,https://www.imdb.com/title/tt1245526/,movie,7.0,111,2010,"Action, Comedy, Crime, Thriller",302831,2010-09-29,Robert Schwentke,,
93,tt2314952,2021-12-03,2021-12-03,,Comedians in Cars Getting Coffee,https://www.imdb.com/title/tt2314952/,tvSeries,8.0,20,2012,"Comedy, Family, Talk-Show",12141,2012-07-19,,,
94,tt0087182,2021-12-03,2021-12-03,,Dune,https://www.imdb.com/title/tt0087182/,movie,6.4,137,1984,"Action, Adventure, Sci-Fi",157475,1984-12-03,David Lynch,,
95,tt9735318,2021-12-09,2021-12-09,,The Beatles: Get Back,https://www.imdb.com/title/tt9735318/,tvMiniSeries,9.1,468,2021,"Documentary, Music",17283,2021-11-25,,,
96,tt0079807,2021-12-10,2021-12-10,,Richard Pryor: Live in Concert,https://www.imdb.com/title/tt0079807/,movie,8.1,78,1979,"Documentary, Comedy",5127,1979-01-26,Jeff Margolis,,
97,tt1333125,2021-12-12,2021-12-12,,Movie 43,https://www.imdb.com/title/tt1333125/,movie,4.3,94,2013,Comedy,104042,2013-01-01,"Steven Brill, Rusty Cundieff, Patrik Forsberg, Bob Odenkirk, James Duffy, James Gunn, Peter Farrelly, Brett Ratner, Elizabeth Banks, Jonathan van Tulleken, Steve Carr, Will Graham, Griffin Dunne",,
98,tt15977708,2021-12-15,2021-12-15,,Saturday Morning All Star Hits!,https://www.imdb.com/title/tt15977708/,tvSeries,7.6,23,2021,"Animation, Comedy",763,2021-12-10,,,
99,tt10872600,2021-12-17,2021-12-17,,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,movie,8.7,148,2021,"Action, Adventure, Fantasy, Sci-Fi",457119,2021-12-13,Jon Watts,,
100,tt15573636,2021-12-22,2021-12-22,,"LOL: Se Rir, Já Era",https://www.imdb.com/title/tt15573636/,tvSeries,7.3,,2021,"Comedy, Game-Show",208,2021-12-03,,,
101,tt2294629,2021-12-26,2021-12-26,,Frozen,https://www.imdb.com/title/tt2294629/,movie,7.4,102,2013,"Animation, Adventure, Comedy, Family, Fantasy, Musical",604661,2013-11-10,"Jennifer Lee, Chris Buck",,
102,tt11286314,2021-12-29,2021-12-29,,Don't Look Up,https://www.imdb.com/title/tt11286314/,movie,7.2,138,2021,"Comedy, Drama, Sci-Fi",424787,2021-12-05,Adam McKay,,
103,tt7097896,2021-12-31,2021-12-31,,Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/,movie,6.0,97,2021,"Action, Adventure, Sci-Fi, Thriller",172827,2021-09-14,Andy Serkis,,
104,tt12974818,2021-12-31,2021-12-31,,David,https://www.imdb.com/title/tt12974818/,short,7.1,11,2020,"Short, Comedy",486,2020-09-10,Zach Woods,,
105,tt10986410,2022-01-01,2022-01-01,,Ted Lasso,https://www.imdb.com/title/tt10986410/,tvSeries,8.8,30,2020,"Comedy, Drama, Sport",164752,2020-08-14,,,
